bibtex,Authors,Title,Venue,Year,Abbr venue,Abstract,Paper Summary,Definitions of reproducibility or replicability etc?,"Notes, e.g. findings, important points, etc. not made in abstract",Reproducible / Replicable according to authors? ,Links,Type of paper (Short / Long),
"@inproceedings{mieskes-etal-2019-community,
    title = ""Community Perspective on Replicability in Natural Language Processing"",
    author = {Mieskes, Margot  and
      Fort, Kar{\""e}n  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Cohen, Kevin},
    booktitle = ""Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019)"",
    month = sep,
    year = ""2019"",
    address = ""Varna, Bulgaria"",
    publisher = ""INCOMA Ltd."",
    url = ""https://www.aclweb.org/anthology/R19-1089"",
    doi = ""10.26615/978-954-452-056-4_089"",
    pages = ""768--775"",
}
","Mieskes, Margot  and
      Fort, Kar{\""e}n  and
      N{\'e}v{\'e}ol, Aur{\'e}lie  and
      Grouin, Cyril  and
      Cohen, Kevin",Community Perspective on Replicability in Natural Language Processing,Proceedings of the International Conference on Recent Advances in Natural Language Processing (RANLP 2019),2019,WS,"With recent efforts in drawing attention to the task of replicating and/or reproducing results, for example in the context of COLING 2018 and various LREC workshops, the question arises how the NLP community views the topic of replicability in general. Using a survey, in which we involve members of the NLP community, we investigate how our community perceives this topic, its relevance and options for improvement. Based on over two hundred participants, the survey results confirm earlier observations, that successful reproducibility requires more than having access to code and data. Additionally, the results show that the topic has to be tackled from the authors’, reviewers’ and community’s side.","1. one sentence summary of what paper is about
Paper describes and reports results of a survey of 225 NLP researchs on topics in reproducibility
2. paper's central goal/question/hypothesis
by conducting survey of NLP researchers, gain understanding of factors that support or hinder awareness of reproducibility and of the role  each  individual  plays  as  an  author,  as  a  reviewer and as part of the NLP community
3. methodology
questionnaire of 18 questions in three categories:  (i) replication work in general, (ii) replicating one’s own work and (iii) replicating others’ work; distributed via LinkedIn and BioNLP, Corpora, LN and GLCL mailing lists.
4. reported results
headline results: 24.9% of attempts to reproduce own work, and 56.7% of attempts to reproduce another team's results failed to reach same conclusions; plus detailed survey results
5. paper's conclusions and/or main contributions
currently over half of reproduction attempts fail; maily because of unavailability of resources and documentaiton; authors should run reproduction attempts themselves before publication, then release the attempt for others to use; NLP community needs to develop guidelines; reproducibility-aware reviewing and community-developed guidelines would help 
","* is this representative: 38% PGR or Post-doc; 39% academic appointment; 22% other (=industry?)
* recruitment via mailling lists and LinkedIn - what was effect of self-selection?",,,,,
"@inproceedings{wu-etal-2019-errudite,
    title = ""{E}rrudite: Scalable, Reproducible, and Testable Error Analysis"",
    author = ""Wu, Tongshuang  and
      Ribeiro, Marco Tulio  and
      Heer, Jeffrey  and
      Weld, Daniel"",
    booktitle = ""Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics"",
    month = jul,
    year = ""2019"",
    address = ""Florence, Italy"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://www.aclweb.org/anthology/P19-1073"",
    doi = ""10.18653/v1/P19-1073"",
    pages = ""747--763"",
}
","Wu, Tongshuang  and
      Ribeiro, Marco Tulio  and
      Heer, Jeffrey  and
      Weld, Daniel","{E}rrudite: Scalable, Reproducible, and Testable Error Analysis",Proceedings of the 57th Annual Meeting of the Association for Computational Linguistics,2019,ACL,"Though error analysis is crucial to understanding and improving NLP models, the common practice of manual, subjective categorization of a small sample of errors can yield biased and incomplete conclusions. This paper codifies model and task agnostic principles for informative error analysis, and presents Errudite, an interactive tool for better supporting this process. First, error groups should be precisely defined for reproducibility; Errudite supports this with an expressive domain-specific language. Second, to avoid spurious conclusions, a large set of instances should be analyzed, including both positive and negative examples; Errudite enables systematic grouping of relevant instances with filtering queries. Third, hypotheses about the cause of errors should be explicitly tested; Errudite supports this via automated counterfactual rewriting. We validate our approach with a user study, finding that Errudite (1) enables users to perform high quality and reproducible error analyses with less effort, (2) reveals substantial ambiguities in prior published error analyses practices, and (3) enhances the error analysis experience by allowing users to test and revise prior beliefs.","1. one sentence summary of what paper is about
Demo paper which presents Errudite, an interactive tool for informative error analysis. 
2. paper's central goal/question/hypothesis
Characterize deficiencies with current error analysis methods used in NLP which can lead to high variance and low reproducibility
3. methodology
Error analysis of BiDAF on SQuAD using Errudite. Presents user study to study ambiguities in prior error analysis studies.
4. reported results
Mainly demo paper. Error coverage has been reported of replicating Seo et al. (Figure 7). High variance observed by user-defined groups in replication study.
5. paper's conclusions and/or main contributions
Motivated the use of the tool. Users unable to consistently replicate the analysis of Seo et al. (2016) due to the ambiguity inherent in manual grouping. ",None,* Not exactly reproducibility paper,,,Long,
"@article{zhang-duh-2020-reproducible,
    title = ""Reproducible and Efficient Benchmarks for Hyperparameter Optimization of Neural Machine Translation Systems"",
    author = ""Zhang, Xuan  and
      Duh, Kevin"",
    journal = ""Transactions of the Association for Computational Linguistics"",
    volume = ""8"",
    year = ""2020"",
    url = ""https://www.aclweb.org/anthology/2020.tacl-1.26"",
    doi = ""10.1162/tacl_a_00322"",
    pages = ""393--408"",
}
","Zhang, Xuan  and
      Duh, Kevin",Reproducible and Efficient Benchmarks for Hyperparameter Optimization of Neural Machine Translation Systems,Transactions of the Association for Computational Linguistics,2020,ACL,"Hyperparameter selection is a crucial part of
building neural machine translation (NMT)
systems across both academia and industry.
Fine-grained adjustments to a model’s architecture or training recipe can mean the difference between a positive and negative research
result or between a state-of-the-art and underperforming system. While recent literature has
proposed methods for automatic hyperparameter optimization (HPO), there has been limited
work on applying these methods to neural
machine translation (NMT), due in part to the
high costs associated with experiments that
train large numbers of model variants. To
facilitate research in this space, we introduce
a lookup-based approach that uses a library
of pre-trained models for fast, low cost HPO
experimentation. Our contributions include (1)
the release of a large collection of trained NMT
models covering a wide range of hyperparameters, (2) the proposal of targeted metrics for
evaluating HPO methods on NMT, and (3) a
reproducible benchmark of several HPO methods against our model library, including novel
graph-based and multiobjective methods.","1. one sentence summary of what paper is about
This paper doesn't want to reproduce any previous research but instead want to enable reproducible HPO research on NMT tasks
2. paper's central goal/question/hypothesis
Create a benchmark dataset for hyperparameter optimization (HPO) of NMT models
3. methodology
Ran a large collection of NMT models with various hyperparameter configuration and recorded their performance. Adopted table-lookup procedure. Released this table dataset of all models with their configurations and perfomances. 
4. reported results
Used 3 evaluation metric fixed-target all (fta), fixed-target one (fto) and fixed-budget (fbp) based on measuring runtime and provided benchmark results.   
5. paper's conclusions and/or main contributions
3 fold - 1. Released large collection of trained NMT models 2. Proposed eval metrics for HPO 3. Reproducible benchmark / dataset",Followed two notions of reproducibility from Li and Talwalkar (2019): exact reproducibility (the reproducibility of reported experimental results); and broad reproducibility (the generalization of the experimental results),"Not trying reproducing any results but create a benchmark dataset. Argues that their benchmarks are exact reproducible (provide the tables that record all model results). Might not be broad reproducible, because the generalizability of the results might be restricted due to fixed collections of hyperparameter and variance associated with multiple runs",,,,
"@inproceedings{born-etal-2020-dataset,
    title = ""Dataset Reproducibility and {IR} Methods in Timeline Summarization"",
    author = ""Born, Leo  and
      Bacher, Maximilian  and
      Markert, Katja"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.218"",
    pages = ""1763--1771"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Born, Leo  and
      Bacher, Maximilian  and
      Markert, Katja",Dataset Reproducibility and {IR} Methods in Timeline Summarization,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"Timeline summarization (TLS) generates a dated overview of real-world events based on event-specific corpora. The two standard datasets for this task were collected using Google searches for news reports on given events. Not only is this IR method not reproducible at different search times, it also uses components (such as document popularity) that are not always available for any large news corpus. It is unclear how TLS algorithms fare when provided with event corpora collected with varying IR methods. We therefore construct event-specific corpora from a large static background corpus, the newsroom dataset, using differing, relatively simple IR methods based on raw text alone. We show that the choice of IR method plays a crucial role in the performance of various TLS algorithms. A weak TLS algorithm can even match a stronger one by employing a stronger IR method in the data collection phase. Furthermore, the results of TLS systems are often highly sensitive to additional sentence filtering. We consequently advocate for integrating IR into the development of TLS systems and having a common static background corpus for evaluation of TLS systems.","1. one sentence summary of what paper is about
The paper advocates for better development and evaluation of timeline summarisation systems: corpus collection should be done using explicit IR methods, rather than relying on external search engines.
2. paper's central goal/question/hypothesis
Do timeline summarisation systems (TLS) depend on preprocessing of the corpora they are trained on, namely IR methods and sentence filtering?
3. methodology
investigated the impact of three text-based IR methods and keyword-based sentence filters on TLS systems
4. reported results
A choice of an IR method impacts results of TLS. Also, performance of TLS systems is highly sensitive to sentence filtering.
5. paper's conclusions and/or main contributions
The study advocates for including IR into the development of TLS systems. That would make corpus collection for TLS reproducible.",no,"It is not a study on reproducibility per se.

Problem with TLS research: most of the corpora created for timeline summarisation are not publicly available; the corpora are collected via commercial search engines (this method is not reproducible and has biases).",,,,
"@inproceedings{antonio-rodrigues-etal-2020-reproduction,
    title = ""Reproduction and Revival of the Argument Reasoning Comprehension Task"",
    author = ""Ant{\'o}nio Rodrigues, Jo{\~a}o  and
      Branco, Ruben  and
      Silva, Jo{\~a}o  and
      Branco, Ant{\'o}nio"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.622"",
    pages = ""5055--5064"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Ant{\'o}nio Rodrigues, Jo{\~a}o  and
      Branco, Ruben  and
      Silva, Jo{\~a}o  and
      Branco, Ant{\'o}nio",Reproduction and Revival of the Argument Reasoning Comprehension Task,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"Reproduction of scientific findings is essential for scientific development across all scientific disciplines and reproducing results of previous works is a basic requirement for validating the hypothesis and conclusions put forward by them. This paper reports on the scientific reproduction of several systems addressing the Argument Reasoning Comprehension Task of SemEval2018. Given a recent publication that pointed out spurious statistical cues in the data set used in the shared task, and that produced a revised version of it, we also evaluated the reproduced systems with this new data set. The exercise reported here shows that, in general, the reproduction of these systems is successful with scores in line with those reported in SemEval2018. However, the performance scores are worst than those, and even below the random baseline, when the reproduced systems are run over the revised data set expunged from data artifacts. This demonstrates that this task is actually a much harder challenge than what could have been perceived from the inflated, close to human-level performance scores obtained with the data set used in SemEval2018. This calls for a revival of this task as there is much room for improvement until systems may come close to the upper bound provided by human performance.","1. one sentence summary of what paper is about
Reproduced 6 systems having participated at Argument Reasoning Comprehension Task of SemEval 2018. Also ran the systems on a revised version of the debiased dataset used in the task. 
2. paper's central goal/question/hypothesis
Reproduction of some systems addressing the argument reasoning comprehension task.
3. methodology
For reproduction, the paper followed system description and/or reused code if it was provided.
4. reported results
1 system score reproduced exactly, other 5 systems' scores reproduced within +- 0.036 delta; the initial ranking of SemEval was not affected. 
5. paper's conclusions and/or main contributions
Ran systems on the debiased dataset, showed that scores are lower, calls for a new edition of the task.
","following Stodden et al. (2014):

Replication, the practice of independently implementing scientific experiments to validate specific findings, is the cornerstone of discovering scientific truth. Related to replication is reproducibility, which is the calculation of quantitative scientific results by independent scientists using the original data sets and methods",,"the challenge ranking was reproduced. Some systems were harder to reproduce than others due to lack of instructions, library versioning, etc.

not part of REPROLANG",,,
"@inproceedings{branco-etal-2020-shared,
    title = ""A Shared Task of a New, Collaborative Type to Foster Reproducibility: A First Exercise in the Area of Language Science and Technology with {REPROLANG}2020"",
    author = ""Branco, Ant{\'o}nio  and
      Calzolari, Nicoletta  and
      Vossen, Piek  and
      Van Noord, Gertjan  and
      van Uytvanck, Dieter  and
      Silva, Jo{\~a}o  and
      Gomes, Lu{\'\i}s  and
      Moreira, Andr{\'e}  and
      Elbers, Willem"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.680"",
    pages = ""5539--5545"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
    abstract = ""In this paper, we introduce a new type of shared task — which is collaborative rather than competitive — designed to support and foster the reproduction of research results. We also describe the first event running such a novel challenge, present the results obtained, discuss the lessons learned and ponder on future undertakings."",
}
","Branco, Ant{\'o}nio  and
      Calzolari, Nicoletta  and
      Vossen, Piek  and
      Van Noord, Gertjan  and
      van Uytvanck, Dieter  and
      Silva, Jo{\~a}o  and
      Gomes, Lu{\'\i}s  and
      Moreira, Andr{\'e}  and
      Elbers, Willem","A Shared Task of a New, Collaborative Type to Foster Reproducibility: A First Exercise in the Area of Language Science and Technology with {REPROLANG}2020",Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"In this paper, we introduce a new type of shared task — which is collaborative rather than competitive — designed to support and foster the reproduction of research results. We also describe the first event running such a novel challenge, present the results obtained, discuss the lessons learned and ponder on future undertakings.","1. one sentence summary of what paper is about
Paper describes the design, organisation and results of the REPROLANG shared task at LREC
2. paper's central goal/question/hypothesis
To investigate designing a reproduction shared task and to produce results through the shared task which give insight about ability, difficulty and requirements for reproducing results from published papers across NLP
3. methodology
Shared task committee selected a final set of papers for reproduction via call for contribution and direct selection; very rigorous conditions were created for ensuring that reproduction attempts are themselves reproducible, including sharing all code via gitlab containers; submissions were reviewed by task organisers and original authors and scored on 4 reproduction scores
4. reported results
11 out of 18 papers were accepted, addressing 7 of the 11 papers up for reproduction. (No sucess/failure stats reported, or reviewing score stats.)
5. paper's conclusions and/or main contributions
reproductions generally possible; author collaboration helpful, but need to expand to reproducing any paper; shared task deemed a success.","* scoring of submissions confounds recreatability and reproducibility, as well as missing information and reproduction difficulties
* these were all collaborative reproduction attempts, so this is maybe not surprising: ""in general, the target papers pre-sented no special problems for their reproduction""
* one conclusion is that task may be more useful if reproduction of any paper is allowed rather than just those volunteered by their authors, but why not cite the Reproducibility Challenge in ML in this context?
* shame that submissions were not summarised - the real interest here would have been generalising over and drawing conclusions from all of the 11 reproduction outcomes",,,,,
"@inproceedings{garneau-etal-2020-robust,
    title = ""A Robust Self-Learning Method for Fully Unsupervised Cross-Lingual Mappings of Word Embeddings: Making the Method Robustly Reproducible as Well"",
    author = ""Garneau, Nicolas  and
      Godbout, Mathieu  and
      Beauchemin, David  and
      Durand, Audrey  and
      Lamontagne, Luc"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.681"",
    pages = ""5546--5554"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Garneau, Nicolas  and
      Godbout, Mathieu  and
      Beauchemin, David  and
      Durand, Audrey  and
      Lamontagne, Luc",A Robust Self-Learning Method for Fully Unsupervised Cross-Lingual Mappings of Word Embeddings: Making the Method Robustly Reproducible as Well,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"In this paper, we reproduce the experiments of Artetxe et al. (2018b) regarding the robust self-learning method for fully unsupervised cross-lingual mappings of word embeddings. We show that the reproduction of their method is indeed feasible with some minor assumptions. We further investigate the robustness of their model by introducing four new languages that are less similar to English than the ones proposed by the original paper. In order to assess the stability of their model, we also conduct a grid search over sensible hyperparameters. We then propose key recommendations that apply to any research project in order to deliver fully reproducible research.","1. one sentence summary of what paper is about
Reproduction and robustness testing of the model for unsupervised cross-lingual word embeddings of Artexte et al.
2. paper's central goal/question/hypothesis
Are the experiments of Artetxe et al reproducible and robust (wrt hyperparameters and different languages)?
3. methodology
Used the provided codebase of Artetxe et al. Some missing parts (for ablation studies) were reimplemented. Also the robustness of the algorithm was tested by applying it to different languages and by varying some hyperparameters.
4. reported results
Main results from Artetxe et al were reproduced; their ablation studies were also reproduced with one experiment reproduction being unsuccessful. The algorithm performs less well on pairs of distant languages (not reported in the original study).
5. paper's conclusions and/or main contributions
The method of Artetxe et al is robust, when applied to the pairs of languages that share some commonalities. It seems to be not that robust with other pairs of languages (tested on EN-{ET, FA, LV, VI}). Recommendations for reproducibility (logging, dataset versionining, dockerisation)
",,,the main results --- yes,,,
"@inproceedings{khoe-2020-reproducing,
    title = ""Reproducing a Morphosyntactic Tagger with a Meta-{B}i{LSTM} Model over Context Sensitive Token Encodings"",
    author = ""Khoe, Yung Han"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.683"",
    pages = ""5563--5568"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Khoe, Yung Han",Reproducing a Morphosyntactic Tagger with a Meta-{B}i{LSTM} Model over Context Sensitive Token Encodings,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"Reproducibility is generally regarded as being a requirement for any form of experimental science. Even so, reproduction of research results is only recently beginning to be practiced and acknowledged. In the context of the REPROLANG 2020 shared task, we contribute to this trend by reproducing the work reported on by Bohnet et al. (2018) on morphosyntactic tagging. Their meta-BiLSTM model achieved state-of-the-art results across a wide range of languages. This was done by integrating sentence-level and single-word context through synchronized training by a meta-model. Our reproduction only partially confirms the main results of the paper in terms of outperforming earlier models. The results of our reproductions improve on earlier models on the morphological tagging task, but not on the part-of-speech tagging task. Furthermore, even where we improve on earlier models, we fail to match the F1-scores reported for the meta-BiLSTM model. Because we chose not to contact the original authors for our reproduction study, the uncertainty about the degree of parallelism that was achieved between the original study and our reproduction limits the value of our findings as an assessment of the reliability of the original results. At the same time, however, it underscores the relevance of our reproduction effort in regard to the reproducibility and interpretability of those findings. The discrepancies between our findings and the original results demonstrate that there is room for improvement in many aspects of reporting regarding the reproducibility of the experiments. In addition, we suggest that different reporting choices could improve the interpretability of the results.","1. one sentence summary of what paper is about
Reproduction of the morphosyntactic tagging system of Bohnet et al (2018) as a part of the REPROLANG shared task.
2. paper's central goal/question/hypothesis
Is the method of Bohnet et al (2018) reproducible?
3. methodology
Two reproduction attempts: following the parameter description reported in the paper and running source code. Drop some languages for which POS is trivial (the accuracies for those langs can inflate avg scores). Some hyperparameters were changed due to a limited access to resources.
4. reported results
POS tagging gave lower results than initially reported, and lower than previous baselines. (Note that rating difference is tiny--to decimal points.) Morphological tagging reproduction confirms that the system of Bohnet et al is better than previous ones.
5. paper's conclusions and/or main contributions
Partial reproduction of Bohnet et al (AS: note that some parameters were changed, and hard to establish a winner in tagging, since score differences are around 1 point).
",no,"didn't reproduce ablation studies, since the code for them was not available;

chose not to contact authors, but asked some questions via github issues;

published code differed from the paper;

[AS note:] hard to draw a conclusion if reproducible or not from numbers, since accuracies in POS varies in decimal points","according to the author, only partial reproduction: only morphological tagging, but not POS tagging",,,
"@inproceedings{rim-etal-2020-reproducing,
    title = ""Reproducing Neural Ensemble Classifier for Semantic Relation Extraction in{S}cientific Papers"",
    author = ""Rim, Kyeongmin  and
      Tu, Jingxuan  and
      Lynch, Kelley  and
      Pustejovsky, James"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.684"",
    pages = ""5569--5578"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Rim, Kyeongmin  and
      Tu, Jingxuan  and
      Lynch, Kelley  and
      Pustejovsky, James",Reproducing Neural Ensemble Classifier for Semantic Relation Extraction in{S}cientific Papers,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"Within the natural language processing (NLP) community, shared tasks play an important role. They define a common goal and allowthe the comparison of different methods on the same data. SemEval-2018 Task 7 involves the identification and classification of relationsin abstracts from computational linguistics (CL) publications. In this paper we describe an attempt to reproduce the methods and resultsfrom the top performing system at for SemEval-2018 Task 7. We describe challenges we encountered in the process, report on the resultsof our system, and discuss the ways that our attempt at reproduction can inform best practices.","1. one sentence summary of what paper is about
Reproduction of the scientific RE and classification of Rotsztejn et  al. (2018), one of the best systems at SemEval-18, Task 7. Part of REPROLANG.
2. paper's central goal/question/hypothesis
Is the system of Rotsztejn et al (2018) reproducible?
3. methodology
Reimplemented the code. Had to reproduce data collection (the original paper used data augmentation): scraping arXiv for abstracts. 
4. reported results
One subtask was reproduced with 1 point difference in F1. Three other subtasks gave scores lower than the original ones by about 7%. 
5. paper's conclusions and/or main contributions
Reimplemented the system of Rotsztjein et al (2018). Important details were left unknown in the original paper, which hampered reproduction.
",no,"additional data collection, preprocessing and cleaning were not specified in the original paper. Had to guess a lot of details.

how reproduced scores would affect the system rating at SemEval was not covered",partially,,,
"@inproceedings{abdellatif-elgammal-2020-ulmfit,
    title = ""{ULMF}i{T} replication"",
    author = ""Abdellatif, Mohamed  and
      Elgammal, Ahmed"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.685"",
    pages = ""5579--5587"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Abdellatif, Mohamed  and
      Elgammal, Ahmed",{ULMF}i{T} replication,Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"In this paper, we reproduce some of the experiments of text classification by fine tuning pre-trained language model on the six English data-sets described in Howard and Ruder (2018) (verification).   Then we investigate applicability of the model as is (pre-trained onEnglish) by conducting additional experiments on three other non-English data-sets that are not in the original paper (extension).  For the verification experiments, we didn’t generate the exact same numbers as the original paper, however, the replication results are in the same range as compared to the baselines reported for comparison purposes. We attribute this to the limitation in computational resources which forced us to run on smaller batch sizes and for fewer number of epochs. Otherwise, we followed in the footsteps of the author to the best of our abilities (e.g. the libraries, tutorials, hyper-parameters and transfer learning methodology). We report implementation details as well as lessons learned in the appendices","1. one sentence summary of what paper is about
This paper reproduces transfer learning results from Howard and Ruder (2018) on 6 English datasets across 3 tasks (Sentiment analysis, Question Classification and Topic Classification) and further extend it to 3 non-English datasets
2. paper's central goal/question/hypothesis
Verify the transfer learning methodolgy by reproducing the results of Howard and Ruder (2018) across the 3 dimensions of reproduciblity. Verified the conclusion based on different findings and values
3. methodology
Used bi-directional Universal Language Model Fine-tuning (ULMFiT) model from the FastAI python library for reproducibility. Also performed an ablation study with uni-directional and not-pretrained model. 
4. reported results
Test error rates (%) reported for all the task comparing the reproduced model with the original paper.  
5. paper's conclusions and/or main contributions
""Verified"" the reproducibility of Howard and Ruder (2018) transfer learning methodology and ""Extended"" the model on non-English datasets. Highlighed the 3 dimensions of reproducibiliy in their results. 
",Followed the definition of replicability and reproducibiltiy by Cohen et al. (2018). Provides extensive details for both replicability and reproducibility while also highlighting the three dimensions of reproduciblitiy in their results,Did not aim for exact replication because of hardware limitataions. Tried to get the results in the same ball park. ,Yes,,,
"@inproceedings{bestgen-2020-reproducing,
    title = ""Reproducing Monolingual, Multilingual and Cross-Lingual {CEFR} Predictions"",
    author = ""Bestgen, Yves"",
    booktitle = ""Proceedings of The 12th Language Resources and Evaluation Conference"",
    month = may,
    year = ""2020"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://www.aclweb.org/anthology/2020.lrec-1.687"",
    pages = ""5595--5602"",
    language = ""English"",
    ISBN = ""979-10-95546-34-4"",
}
","Bestgen, Yves","Reproducing Monolingual, Multilingual and Cross-Lingual {CEFR} Predictions",Proceedings of The 12th Language Resources and Evaluation Conference,2020,LREC,"This study aims to reproduce the research of Vajjala and Rama (2018) which showed that it is possible to predict the quality of a textwritten by learners of a given language by means of a model built on the basis of texts written by learners of another language.  Theseauthors also pointed out that POStag and dependency n-grams were significantly more effective than text length and global linguisticindices frequently used for this kind of task. The analyses performed show that some important points of their code did not correspond tothe explanations given in the paper. These analyses confirm the possibility to use syntactic n-gram features in cross-lingual experimentsto categorize texts according to their CEFR level (Common European Framework of Reference for Languages).  However, text lengthand  some  classical  indexes  of  readability  are  much  more  effective  in  the  monolingual  and  the  multilingual  experiments  than  whatVajjala and Rama concluded and are even the best performing features when the cross-lingual task is seen as a regression problem.This study emphasized the importance for reproducibility of setting explicitly the reading order of the instances when using a K-foldCV procedure and, more generally, the need to properly randomize these instances before.  It also evaluates a two-step procedure todetermine the degree of statistical significance of the differences observed in a K-fold cross-validation schema and argues against theuse of a Bonferroni-type correction in this context.","1. one sentence summary of what paper is about
Reproduction and analysis of the system of Vajjala and Rama (2018) for automatic essay scoring, which uses supervised learning techniques (SVM, Random Forest, Logistic Regression).
2. paper's central goal/question/hypothesis
Is a cross-lingual classifier possible (i.e. learn a predictive model on one language and test on another) as suggested in Vajjala and Rama?
3. methodology
Reproducing following the original code (two runs with and without docker). Conducted a robust cross-validation study. 
4. reported results
Two runs of reproduction gave different results due to the unstable cross-validation and unrandomised instances. Mixed reproduction results depending on the feature set.  
5. paper's conclusions and/or main contributions
The cross-lingual experiment of Vajjala and Rama was proven right, however some features seem to have more impact than claimed in the initial paper.
",no,F1 calculation (weighted or not) differs in the paper and in the code.,"Partially confirmed the finding.
Hard to tell about the reproduction, since 46 reproduced scores with deviations from -0.11 to +0.24 in F1-score.",,,
